AUTAUGA ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1000,6883,313,4.55,654.22
AUTAUGA ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1000,6883,12,0.17,654.22
AUTAUGA ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1000,6883,181,2.63,654.22
AUTAUGA ,AL ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,1000,6883,23,0.33,654.22
AUTAUGA ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1000,6883,  ,  ,654.22
AUTAUGA ,AL ,H0104 ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,PPO ,1000,6883,  ,  ,654.22
AUTAUGA ,AL ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,1000,6883,  ,  ,654.22
AUTAUGA ,AL ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,1000,6883,  ,  ,654.22
AUTAUGA ,AL ,H1037 ,CHOICE CARE HEALTH PLAN  INC. ,HCPP ,1000,6883,  ,  ,654.22
AUTAUGA ,AL ,H4510 ,HUMANA HEALTH PLAN OF TEXAS INC. ,HMO ,1000,6883,  ,  ,654.22
BALDWIN ,AL ,H0104 ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,PPO ,1010,30437,30,0.1,654.22
BALDWIN ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1010,30437,1249,4.1,654.22
BALDWIN ,AL ,H0151 ,UNITED HEALTHCARE OF ALABAMA  INC. ,HMO ,1010,30437,1380,4.53,654.22
BALDWIN ,AL ,H1459 ,ILLINOIS CENTRAL HOSPITAL ASSOCIATION ,HCPP ,1010,30437,40,0.13,654.22
BALDWIN ,AL ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,1010,30437,14,0.05,654.22
BALDWIN ,AL ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H0154 ,VIVA HEALTH  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H0303 ,PACIFICARE OF ARIZONA  INC ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H0524 ,KAISER FOUNDATION HP  INC. ,HMO ,1010,30437,  ,  ,654.22
BALDWIN ,AL ,H0543 ,PACIFICARE OF CALIFORNIA/SECURE HORIZONS ,HMO ,1010,30437,  ,  ,654.22
